ID,emotion,try_num,valence,arousal,reasoning
01,すました愛想笑い,1,0.1,-0.2000000000000004,「すました愛想笑い」は表面的には友好的でわずかに快寄りだが、感情がこもらず距離感や冷淡さがあり強い快ではないためvalenceは低め。落ち着いた取り繕いの表情で興奮や緊張が強くないことが多いのでarousalはやや低め。
01,すました愛想笑い,2,0.1,-0.2000000000000001,「すました愛想笑い」は表面的には友好的で快寄りだが、内心の感情を抑えて距離を取るニュアンスがあり肯定感は弱い。落ち着いて作る笑いで興奮や緊張は高くないため、覚醒度はやや低めと判断した。
01,すました愛想笑い,3,0.05,-0.15,「すました愛想笑い」は表面上は友好的でも感情のこもりが薄く、内心の距離感や作り笑いのニュアンスがあるため快は弱いと判断しました。落ち着いて抑制的で、強い興奮や緊張は伴いにくいのでarousalはやや低めです。
01,すました愛想笑い,4,-0.15,-0.05,「すました愛想笑い」は表面的には微笑でも、内心の不快・距離感や気まずさが含まれやすく、快は弱めでやや不快寄りと判断しました。感情の強度は低く、落ち着いた抑制的な表出なので覚醒度も低めです。
01,すました愛想笑い,5,0.05,-0.15,「すました愛想笑い」は表面上は友好的でも、内心は距離や冷淡さ・取り繕いが含まれやすく快不快は中立〜わずかに快寄りと判断しました。感情の動きは強くなく、落ち着いた低めの覚醒水準になりやすいです。
01,すました愛想笑い,6,0.1,-0.20000000000000018,「すました愛想笑い」は表面的には友好的だが感情がこもらず、やや距離感や冷たさを伴うため快は弱いと判断しました。表情は穏やかで緊張や興奮は低めになりやすいので、arousalはやや低めとしました。
01,すました愛想笑い,7,0.1,-0.05,「すました愛想笑い」は表面的には友好的だが感情を抑えた作り笑いで、快は弱く中立寄りになりやすい。感情表出を抑制しているため生理的な高揚も小さく、覚醒は低めと判断する。
01,すました愛想笑い,8,0.05,-0.20000000000000004,「すました愛想笑い」は表面的には微笑みでわずかに快寄りだが、感情がこもらず距離感や冷淡さがあり中立に近いと判断した。落ち着いて抑制的で、強い興奮や緊張を伴いにくいためarousalはやや低めとした。
01,すました愛想笑い,9,-0.15,-0.05,「すました愛想笑い」は表面的には笑顔でも、内心の喜びや親しさが薄く、やや距離感・冷たさを含むため快-不快はわずかに不快寄りと判断しました。感情の強度も控えめで抑制的なので、覚醒度はほぼ中立〜やや低めです。
01,すました愛想笑い,10,0.05,-0.1,「すました愛想笑い」は表面的には笑顔で社交性がある一方、感情のこもらない冷淡さや距離感が含まれるため快・不快はほぼ中立寄りです。態度は落ち着いており内的な高揚は低めと考えられます。
02,愛想笑い,1,-0.05,0.15,「愛想笑い」は社交的に場を保つための笑顔で、快の要素はあるが本心の楽しさより中立～やや不快が混じりやすい。緊張や気遣いで軽い覚醒はあるが高覚醒ではないため、低～中程度に設定した。
02,愛想笑い,2,0.05,0.15,「愛想笑い」は相手への配慮や社交性から生じるため、表面的にはわずかに快寄りだが本心では中立〜やや不快を含み得ます。緊張や気まずさを伴うことも多く、覚醒度は低〜中程度と判断しました。
02,愛想笑い,3,0.05,-0.10000000000000009,「愛想笑い」は表面的には笑顔で中立〜わずかに快寄りですが、本心では気まずさや義務感を伴うことが多く、快不快はほぼ中立に留まります。場をやり過ごすための低〜中程度の緊張はある一方、強い興奮ではないため覚醒度はやや低めと判断します。
